"Tax Yr","Cat","EE_Rate","EE_AboveUEL","EE_AboveUAP","ER_Rate","ER_AboveUAP","ER_AboveUST","ER_AboveAUST","ER_AboveUEL","ER NIC Rebate","EE NIC Rebate","ER_RebateToST"
"2007","X",0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00
"2008","A",0.11,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2008","B",0.04,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2008","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2008","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2008","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2008","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2008","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2008","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2008","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2008","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2009","A",0.11,0.01,0.11,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2009","B",0.04,0.01,0.04,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2009","C",0.00,0.00,0.00,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2009","D",0.09,0.01,0.11,0.09,0.12,0.00,,0.12,0.03,0.01,0.00
"2009","E",0.04,0.01,0.04,0.09,0.12,0.00,,0.12,0.03,0.00,0.00
"2009","F",0.09,0.01,0.11,0.11,0.12,0.00,,0.12,0.01,0.01,0.00
"2009","G",0.04,0.01,0.04,0.11,0.12,0.00,,0.12,0.01,0.00,0.00
"2009","J",0.01,0.01,0.01,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2009","L",0.01,0.01,0.01,0.09,0.12,0.00,,0.12,0.03,0.01,0.00
"2009","S",0.01,0.01,0.01,0.11,0.12,0.00,,0.12,0.01,0.01,0.00
"2010","A",0.11,0.01,0.11,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2010","B",0.04,0.01,0.04,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2010","C",0.00,0.00,0.00,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2010","D",0.09,0.01,0.11,0.09,0.12,0.00,,0.12,0.03,0.01,0.00
"2010","E",0.04,0.01,0.04,0.09,0.12,0.00,,0.12,0.03,0.00,0.00
"2010","F",0.09,0.01,0.11,0.11,0.12,0.00,,0.12,0.01,0.01,0.00
"2010","G",0.04,0.01,0.04,0.11,0.12,0.00,,0.12,0.01,0.00,0.00
"2010","J",0.01,0.01,0.01,0.12,0.12,0.00,,0.12,0.00,0.00,0.00
"2010","L",0.01,0.01,0.01,0.09,0.12,0.00,,0.12,0.03,0.01,0.00
"2010","S",0.01,0.01,0.01,0.11,0.12,0.00,,0.12,0.01,0.01,0.00
"2011","A",0.12,0.02,0.12,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2011","B",0.05,0.02,0.05,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2011","C",0.00,0.00,0.00,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2011","D",0.10,0.02,0.12,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2011","E",0.05,0.02,0.05,0.10,0.13,0.00,,0.13,0.00,0.00,0.03
"2011","F",0.10,0.02,0.12,0.12,0.13,0.00,,0.13,0.00,0.01,0.01
"2011","G",0.05,0.02,0.05,0.12,0.13,0.00,,0.13,0.00,0.00,0.01
"2011","J",0.02,0.02,0.02,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2011","L",0.02,0.02,0.02,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2011","S",0.02,0.02,0.02,0.12,0.13,0.00,,0.13,0.00,0.01,0.01
"2012","A",0.12,0.02,0.12,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2012","B",0.05,0.02,0.05,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2012","C",0.00,0.00,0.00,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2012","D",0.10,0.02,0.12,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2012","E",0.05,0.02,0.05,0.10,0.13,0.00,,0.13,0.00,0.00,0.03
"2012","J",0.02,0.02,0.02,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2012","L",0.02,0.02,0.02,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2013","A",0.12,0.02,0.12,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
